year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
example,1,นาย ก ซื้อหน่วยลงทุนของกองทุนรวม A ที่ราคาหน่วยละ 10.20 บาท หนึ่งปีต่อมา เขาขายหน่วยลงทุนดังกล่าวไปที่ราคาหน่วยละ 10.50 บาท ในระหว่างปี กองทุนรวมดังกล่าวจ่ายเงินปันผลหน่วยละ 0.30 บาท อัตราผลตอบแทนที่นาย ก ได้จากการลงทุนในหน่วยลงทุนของกองทุนรวม A เท่ากับเท่าใด (ไม่ต้องพิจารณาถึงภาระภาษีและค่าใช้จ่ายต่างๆ ที่เกิดขึ้นจากการลงทุนในกองทุนรวม A),(1) 2.94% (2) 5.71% (3) 5.88% (4) 6.00%,(3) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
example,2,ตัวเลือกใดต่อไปนี้เมื่อเพิ่มขึ้น จะทำให้มูลค่าทรัพย์สินสุทธิ (NAV) ต่อหน่วย ของกองทุนรวมลดลง,(1) มูลค่าทรัพย์สินตามราคาตลาด (2) รายได้ค้างรับ (3) เงินสด (4) หนี้สินของกองทุนรวม,(4) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
example,3,ผู้ลงทุนท่านหนึ่งมีนโยบายการลงทุนแบบเชิงรับ ต้องการสภาพคล่องในการซื้อขายเปลี่ยนมือสูงและต้องการติดตามการเคลื่อนไหวราคาหน่วยลงทุนได้แบบ real time ผู้ลงทุนดังกล่าวควรจะลงทุนในหน่วยลงทุนของกองทุนรวมประเภทใด,(1) กองทุนรวมดัชนี (2) กองทุนรวมตลาดเงิน (3) กองทุน ETF (4) กองทุนรวมตราสารหนี้ระยะสั้น,(3) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
example,4,ผู้ลงทุนบุคคลธรรมดาสัญชาติไทยลงทุนในหน่วยลงทุนของกองทุนรวมตราสารสารทุน และได้รับผลตอบแทนในรูปเงินปันผลจากการลงทุนในกองทุนรวมดังกล่าว รวมถึงได้กำไรจากการขายคืนหน่วยลงทุน ผู้ลงทุนดังกล่าวมีภาระภาษีอะไรบ้าง,(1) ต้องเสียภาษีสำหรับเงินปันผลและกำไรจากการขายหน่วยลงทุน (2) ต้องเสียภาษีเฉพาะเงินปันผลที่ได้รับจากการลงทุน (3) ต้องเสียภาษีเฉพาะกำไรที่ได้จากการขายหน่วยลงทุน (4) ไม่ต้องเสียภาษีใดๆทั้งสิ้นสำหรับการลงทุนในกองทุนรวม,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
example,5,ตัวเลือกใดต่อไปนี้กล่าว ไม่ถูกต้อง เกี่ยวกับกองทุนรวมหุ้นระยะยาว (Long-Term Equity Fund: LTF),"(1) มีนโยบายลงทุนในหุ้นสามัญของบริษัทจดทะเบียนใน SET โดยเฉลี่ยในรอบปีบัญชีไม่น้อยกว่า ร้อยละ 65 ของ NAV ของกองทุน (2) ผู้ลงทุนต้องถือครองหน่วยลงทุน LTF ไม่น้อยกว่า 5 ปีปฏิทิน จึงจะได้รับสิทธิประโยชน์ทางภาษี (3) ผู้ลงทุนใน LTF ต้องซื้อหน่วยลงทุนของกองทุน LTF ทุกปี อย่างน้อยปีละ 5,000 บาท (4) ผู้ลงทุนไม่สามารถโอน จำนำ หรือนำหน่วยลงทุนของ LTF ไปเป็นหลักประกันการชำระหนี้ได้",(3) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
example,6,ค่าธรรมเนียมประเภทใดต่อไปนี้จะเรียกเก็บจากกองทุนรวมโดยตรง,(1) ค่าธรรมเนียมในการรับซื้อคืนหน่วยลงทุน (2) ค่าธรรมเนียมการสับเปลี่ยนหน่วยลงทุน (3) ค่าธรรมเนียมในการจัดการกองทุน (4) ค่าธรรมเนียมในการขายหน่วยลงทุน,(3) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
example,7,ตัวเลือกใดต่อไปนี้กล่าวได้ถูกต้องเกี่ยวกับความแตกต่างระหว่างกองทุนเปิดและกองทุนปิด,(1) กองทุนเปิดมีการกำหนดอายุโครงการที่แน่นอนขณะที่กองทุนปิดอาจจะมีอายุโครงการหรือไม่ก็ได้ (2) กองทุนปิดมีจำนวนหน่วยลงทุนคงที่ขณะที่กองทุนเปิดจำนวนหน่วยลงทุนอาจเพิ่มขึ้นหรือลดลงก็ได้ (3) หลังจากการเสนอขายครั้งแรกแล้ว ผู้ลงทุนในหน่วยลงทุนของกองทุนเปิดจะไม่สามารถซื้อ หน่วยลงทุนของกองทุนเปิดเพิ่มได้อีก ในขณะที่ผู้ลงทุนในหน่วยลงทุนของกองทุนปิดจะ สามารถซื้อหน่วยลงทุนของกองทุนรวมประเภทดังกล่าวเพิ่มได้อีก (4) ผู้ลงทุนในหน่วยลงทุนของกองทุนเปิดจะไม่สามารถขายคืนหน่วยลงทุนของกองทุนรวมได้ จนกว่าจะครบอายุโครงการ ในขณะที่ผู้ลงทุนในหน่วยลงทุนของกองทุนปิดจะสามารถขายคืน หน่วยลงทุนของกองทุนรวมได้เป็นระยะๆ ตามกำหนดเวลาที่ระบุในหนังสือชี้ชวน กฏระเบียบและมาตรฐานการปฏิบัติงานเกี่ยวกับกองทุน,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
example,8,ตามเกณฑ์ที่กําหนดโดยสมาคมบริษัทจัดการลงทุน (AIMC) ในกรณีที่ผู้ลงทุนต้องการวัดผลการดำเนินงานของกองทุนรวมตราสารหนี้ระยะสั้น ผู้ลงทุนควรอ้างอิงเกณฑ์ใด,(1) อัตราดอกเบี้ยเงินฝากประจํา 3 เดือนเฉลี่ยของธนาคารกรุงเทพ ธนาคารไทยพาณิชย์และธนาคารกสิกรไทย (2) อัตราดอกเบี้ยเงินฝากประจํา 1 ปีเฉลี่ยของธนาคารกรุงเทพ ธนาคารไทยพาณิชย์และธนาคารกสิกรไทย (3) อัตราผลตอบแทนของตราสารหนี้ภาครัฐอายุ 1 ปี (4) อัตราดอกเบี้ยนโยบายที่กําหนดโดยธนาคารแห่งประเทศไทย,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
example,9,ถ้านักลงทุนเชื่อว่าตลาดหลักทรัพย์เป็นตลาดที่ไม่มีประสิทธิภาพ (Inefficient Market) และนักลงทุนมีโอกาสที่จะสร้างอัตราผลตอบแทนจากการลงทุนที่สูงกว่าอัตราผลตอบแทนของตลาดถ้าใช้เครื่องมือวิเคราะห์การลงทุนที่เหมาะสม นักลงทุนควรจะใช้กลยุทธ์การลงทุนแบบใด,(1) Market Timing (2) Share Cost Averaging (3) Dollar Cost Averaging (4) Neutral Strategy,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
example,10,ตัวเลือกใดต่อไปนี้กล่าวไม่ถูกต้องเกี่ยวกับ Expense Ratio ของกองทุนรวม,(1) กองทุนรวมที่มีนโยบายการลงทุนเชิงรุกมักจะมี Expense Ratio ต่ำกว่ากองทุนรวมที่มีนโยบายการลงทุนเชิงรับ (2) Expense Ratio ยิ่งต่ำเท่าไร แสดงว่ากองทุนรวมมีความสามารถในการบริหารจัดการค่าใช้จ่ายได้อย่างมีประสิทธิภาพมากขึ้นเท่านั้น (3) กองทุนรวมที่มีขนาดใหญ่จะมี Expense Ratio ต่ำกว่ากองทุนรวมที่มีขนาดเล็กกว่า (4) Expense Ratio จะคำนวณจากอัตราส่วนค่าใช้จ่ายที่เกี่ยวข้องกับการบริหารจัดการกองทุนรวมต่อมูลค่าทรัพย์สินสุทธิของกองทุนรวม,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
