year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
tha,1,ปล่อยให้มือของคุณผ่อนคลายที่สุดเท่าที่จะทำได้ขณะที่ยังคงเล่นโน้ตทุกตัวได้อย่างถูกต้อง พยายามไม่เคลื่อนไหวนิ้วมือมากเกินไปโดยไม่จำเป็น วิธีนี้จะทำให้ลดความเหน็ดเหนื่อยที่คุณได้รับให้เหลือน้อยที่สุด จำไว้ว่าไม่จำเป็นต้องกดแป้นให้แรงเพื่อให้เสียงดังขึ้นเหมือนเปียโน หากต้องการเพิ่มเสียงของหีบเพลงให้ดังขึ้น ให้ใช้แรงดันหรือความเร็วของที่สูบลมให้มากขึ้น\nจากบทความ ข้อใดไม่ใช่เคล็ดลับที่ถูกต้องสำหรับการเล่นหีบเพลงให้ประสบความสำเร็จ,(1) หากต้องการให้เสียงดังขึ้น ให้เพิ่มแรงดันตอนเล่นตัวโน้ต\n(2) พยายามไม่เคลื่อนไหวนิ้วมือมากเกินไปเพื่อไม่ให้ออกแรงมากเกินไป\n(3) ระวังตอนเล่นตัวโน้ตขณะที่ปล่อยให้มือผ่อนคลายที่สุดไปด้วย\n(4) เพิ่มความเร็วของที่สูบลมเพื่อทำให้เสียงดังขึ้น,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,2,ปล่อยให้มือของคุณผ่อนคลายที่สุดเท่าที่จะทำได้ขณะที่ยังคงเล่นโน้ตทุกตัวได้อย่างถูกต้อง พยายามไม่เคลื่อนไหวนิ้วมือมากเกินไปโดยไม่จำเป็น วิธีนี้จะทำให้ลดความเหน็ดเหนื่อยที่คุณได้รับให้เหลือน้อยที่สุด จำไว้ว่าไม่จำเป็นต้องกดแป้นให้แรงเพื่อให้เสียงดังขึ้นเหมือนเปียโน หากต้องการเพิ่มเสียงของหีบเพลงให้ดังขึ้น ให้ใช้แรงดันหรือความเร็วของที่สูบลมให้มากขึ้น\nตอนเล่นหีบเพลง ข้อใดต่อไปนี้ช่วยทำให้เสียงดังขึ้น,(1) เพิ่มความเร็ว\n(2) เพิ่มแรงดัน\n(3) ลดแรงกด\n(4) ลดการเคลื่อนไหวนิ้วมือ,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,3,ปัญหาหนึ่งที่พบบ่อยที่สุดเมื่อพยายามแปลงภาพยนตร์ให้อยู่ในรูปแบบดีวีดีคือโอเวอร์สแกน รายการโทรทัศน์ส่วนใหญ่ทำขึ้นเพื่อเอาใจคนทั่วไป ด้วยเหตุผลดังกล่าว ทุกอย่างที่คุณเห็นทางโทรทัศน์จึงมีการตัดขอบด้านบน ด้านล่าง และด้านข้างออก สิ่งนี้ทำขึ้นเพื่อรับประกันว่าภาพจะครอบคลุมทั้งหน้าจอ ซึ่งเรียกกันว่าโอเวอร์สแกน น่าเสียดายที่เมื่อคุณทำแผ่นดีวีดี ขอบของมันมักจะถูกตัดไปด้วย และถ้าวิดีโอนั้นมีคำบรรยายที่อยู่ใกล้ขอบล่างมากเกินไป ก็จะไม่สามารถเห็นได้หมด\nทำไมภาพในโทรทัศน์ถึงมีขอบตัด,(1) เพื่อใส่คำบรรยาย\n(2) เพื่อให้ภาพครอบคลุมทั้งหน้าจอ\n(3) เพื่อให้แปลงเป็นรูปแบบอื่นได้ง่าย\n(4) เพื่อตัดคำบรรยายที่อยู่ด้านล่างมากเกินไป,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,4,ปัญหาหนึ่งที่พบบ่อยที่สุดเมื่อพยายามแปลงภาพยนตร์ให้อยู่ในรูปแบบดีวีดีคือโอเวอร์สแกน รายการโทรทัศน์ส่วนใหญ่ทำขึ้นเพื่อเอาใจคนทั่วไป ด้วยเหตุผลดังกล่าว ทุกอย่างที่คุณเห็นทางโทรทัศน์จึงมีการตัดขอบด้านบน ด้านล่าง และด้านข้างออก สิ่งนี้ทำขึ้นเพื่อรับประกันว่าภาพจะครอบคลุมทั้งหน้าจอ ซึ่งเรียกกันว่าโอเวอร์สแกน น่าเสียดายที่เมื่อคุณทำแผ่นดีวีดี ขอบของมันมักจะถูกตัดไปด้วย และถ้าวิดีโอนั้นมีคำบรรยายที่อยู่ใกล้ขอบล่างมากเกินไป ก็จะไม่สามารถเห็นได้หมด\nจากบทความ ปัญหาข้อใดต่อไปนี้ที่อาจพบเมื่อแปลงภาพยนตร์เป็นรูปแบบดีวีดี,(1) ภาพไม่ครอบคลุมทั้งหน้าจอ\n(2) คำบรรยายถูกตัดออกไปบางส่วน\n(3) มีภาพเต็มหน้าจอ\n(4) ตัดขอบ,(2) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,5,"แผนการของอเมริกาอาศัยการออกโจมตีพร้อมกันจากสามทิศทาง นายพล John Cadwalder จะเริ่มโจมตีกองทหารอังกฤษที่ Bordentown โดยใช้กลยุทธ์หลอกล่อ เพื่อขวางกั้นไม่ให้กำลังเสริมใด ๆ เข้ามาได้ นายพล James Ewing จะนำทหาร 700 นายข้ามแม่น้ำที่ Trenton Ferry เข้ายึดสะพานข้ามลำห้วย Assunpink และป้องกันไม่ให้กองทหารข้าศึกหลบหนี กองกำลังโจมตีหลักจำนวน 2,400 คนจะข้ามแม่น้ำ ณ จุดที่อยู่เหนือจากเทรนตันขึ้นไปเก้าไมล์ แล้วหลังจากนั้นก็จะแยกออกเป็นสองกลุ่ม กลุ่มหนึ่งอยู่ภายใต้การบังคับบัญชาของกรีน อีกกลุ่มอยู่ภายใต้การบังคับบัญของของซัลลิแวน เพื่อเข้าโจมตีก่อนฟ้าสาง\nกองทหารอังกฤษตั้งอยู่ที่ไหน",(1) ลำห้วย Assunpink\n(2) Trenton\n(3) Bordentown\n(4) Princeton,(3) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,6,"""หลังจากผ่านการรับรองโดยสภาคองเกรสเมื่อวันที่ 4 กรกฎาคม ร่างฉบับที่เขียนด้วยลายมือซึ่งได้รับการลงนามโดยจอห์น แฮนค็อก ประธานสภาคองเกรสและชาร์ลส์ ทอมสัน เลขาธิการสภาจึงถูกส่งไปยังโรงพิมพ์ของจอห์น ดันแลปที่อยู่ห่างออกไปเพียงไม่กี่ช่วงตึก ตลอดทั้งคืน มีการสร้างสำเนาประมาณ 150 ถึง 200 ฉบับซึ่งปัจจุบันเรียกกันว่า """" Dunlap broadside"""" จอห์น นิกสัน ได้อ่านเอกสารฉบับนี้ต่อสาธารณะเป็นครั้งแรก ณ ลาน อินดิเพนเดนซ์ฮอลล์ ในวันที่ 8 กรกฎาคม มีการส่งฉบับหนึ่งไปให้จอร์จ วอชิงตัน เมื่อวันที่ 6 กรกฎาคม ซึ่งเขาได้อ่านให้กองกำลังในนิวยอร์กฟังเมื่อวันที่ 9 กรกฎาคม มีสำเนาฉบับหนึ่งมาถึงลอนดอนในวันที่ 10 สิงหาคม คำประกาศอิสรภาพทั้ง 25 แผ่นที่ยังคงมีอยู่เป็นสำเนาที่เก่าแก่ที่สุดของเอกสารนี้ที่เหลือรอดมาได้ ต้นฉบับที่เขียนด้วยลายมือนั้นไม่เหลืออยู่แล้ว""\nลายเซ็นของใครอยู่บนร่างฉบับ",(1) จอห์น ดันแลป\n(2) จอร์จ วอชิงตัน\n(3) จอห์น นิกสัน\n(4) ชาร์ลส์ ทอมสัน,(4) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,7,"""หลังจากผ่านการรับรองโดยสภาคองเกรสเมื่อวันที่ 4 กรกฎาคม ร่างฉบับที่เขียนด้วยลายมือซึ่งได้รับการลงนามโดยจอห์น แฮนค็อก ประธานสภาคองเกรสและชาร์ลส์ ทอมสัน เลขาธิการสภาจึงถูกส่งไปยังโรงพิมพ์ของจอห์น ดันแลปที่อยู่ห่างออกไปเพียงไม่กี่ช่วงตึก ตลอดทั้งคืน มีการสร้างสำเนาประมาณ 150 ถึง 200 ฉบับซึ่งปัจจุบันเรียกกันว่า """" Dunlap broadside"""" จอห์น นิกสัน ได้อ่านเอกสารฉบับนี้ต่อสาธารณะเป็นครั้งแรก ณ ลาน อินดิเพนเดนซ์ฮอลล์ ในวันที่ 8 กรกฎาคม มีการส่งฉบับหนึ่งไปให้จอร์จ วอชิงตัน เมื่อวันที่ 6 กรกฎาคม ซึ่งเขาได้อ่านให้กองกำลังในนิวยอร์กฟังเมื่อวันที่ 9 กรกฎาคม มีสำเนาฉบับหนึ่งมาถึงลอนดอนในวันที่ 10 สิงหาคม คำประกาศอิสรภาพทั้ง 25 แผ่นที่ยังคงมีอยู่เป็นสำเนาที่เก่าแก่ที่สุดของเอกสารนี้ที่เหลือรอดมาได้ ต้นฉบับที่เขียนด้วยลายมือนั้นไม่เหลืออยู่แล้ว""\nจากสถานที่ต่อไปนี้ Dunlap broadside ไปถึงที่ใดเป็นที่สุดท้าย",(1) นิวยอร์ก\n(2) โรงพิมพ์ของจอห์น ดันแลป\n(3) ลอนดอน\n(4) อินดิเพนเดนซ์ฮอลล์,(3) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,8,ชาวอาณานิคมที่เห็นการกระทำนี้ก็ร้องขอกำลังเสริมเช่นกัน กองกำลังที่ช่วยเสริมกำลังในตำแหน่งแนวหน้าประกอบด้วยกองทหารนิวแฮมป์เชียร์ที่ 1 และที่ 3 จำนวน 200 นาย ภายใต้การบังคับบัญชาของพันเอกจอห์น สตาร์ก และเจมส์ รีด (ซึ่งภายหลังได้เป็นนายพลทั้งสองนาย) คนของ Stark เข้าประจำตำแหน่งตามแนวรั้วทางด้านทิศเหนือของฝั่งชาวอาณานิคม เมื่อน้ำลงทำให้เกิดพื้นที่ว่างยาวไปตามแม่น้ำมิสติกซึ่งอยู่ทางตะวันออกเฉียงเหนือของคาบสมุทร พวกเขาก็รีบขยายรั้วป้องกันด้วยกำแพงหินสั้น ๆ ไปทางปลายสุดด้านทิศเหนือที่ริมน้ำบนชายหาดเล็ก ๆ กริดลีย์ หรือ สตาร์ก ได้ปักเสาห่างจากหน้ารั้วราว 100 ฟุต (30 ม.) และออกคำสั่งไม่ให้ผู้ใดยิงจนกว่าจะมีทหารประจำการผ่านเสาต้นนั้น\nกองทหารของพันเอกสตาร์กตั้งอยู่ที่ไหน,(1) ตามแนวรั้วทางปลายสุดด้านทิศเหนือ\n(2) ริมน้ำบนชายหาด\n(3) ทางตะวันออกเฉียงเหนือของคาบสมุทร\n(4) หน้ารั้ว,(1) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,9,ชาวอาณานิคมที่เห็นการกระทำนี้ก็ร้องขอกำลังเสริมเช่นกัน กองกำลังที่ช่วยเสริมกำลังในตำแหน่งแนวหน้าประกอบด้วยกองทหารนิวแฮมป์เชียร์ที่ 1 และที่ 3 จำนวน 200 นาย ภายใต้การบังคับบัญชาของพันเอกจอห์น สตาร์ก และเจมส์ รีด (ซึ่งภายหลังได้เป็นนายพลทั้งสองนาย) คนของ Stark เข้าประจำตำแหน่งตามแนวรั้วทางด้านทิศเหนือของฝั่งชาวอาณานิคม เมื่อน้ำลงทำให้เกิดพื้นที่ว่างยาวไปตามแม่น้ำมิสติกซึ่งอยู่ทางตะวันออกเฉียงเหนือของคาบสมุทร พวกเขาก็รีบขยายรั้วป้องกันด้วยกำแพงหินสั้น ๆ ไปทางปลายสุดด้านทิศเหนือที่ริมน้ำบนชายหาดเล็ก ๆ กริดลีย์ หรือ สตาร์ก ได้ปักเสาห่างจากหน้ารั้วราว 100 ฟุต (30 ม.) และออกคำสั่งไม่ให้ผู้ใดยิงจนกว่าจะมีทหารประจำการผ่านเสาต้นนั้น\nจากบทความ ทหารของสตาร์กขยายรั้วออกไปตอนไหน,(1) ตอนที่ชาวอาณานิคมร้องขอกำลังเสริม\n(2) ตอนที่ทหารประจำการผ่านเสาหน้ารั้ว\n(3) ตอนน้ำลง\n(4) ตอนที่กองกำลังช่วยเสริมกำลังในตำแหน่งแนวหน้า,(3) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
tha,10,จีนสมัยโบราณมีวิธีการแสดงช่วงเวลาต่าง ๆ ที่พิเศษไม่เหมือนใคร โดยแบ่งเป็นช่วงระยะของจีน หรือแต่ละตระกูลที่อยู่ในอำนาจเป็นราชวงศ์ที่มีลักษณะพิเศษ ในช่วงเวลาระหว่างแต่ละราชวงศ์เป็นยุคที่จังหวัดต่าง ๆ ซึ่งแยกจากกันไม่มีความมั่นคง ช่วงเวลาที่รู้จักกันดีที่สุดคือสมัยสามก๊กที่ปรากฏอยู่ยาวนาน 60 ปีระหว่างราชวงศ์ฮั่นและราชวงศ์จิน สงครามที่ดุเดือดระหว่างขุนนางจำนวนมากที่ต่อสู้เพื่อแย่งชิงบัลลังก์เกิดขึ้นในช่วงเวลาเหล่านี้ สามก๊กเป็นยุคที่มีการนองเลือดที่สุดยุคหนึ่งในประวัติศาสตร์จีนโบราณ ผู้คนหลายพันคนต้องล้มตายไปในการต่อสู้เพื่อแย่งชิงบัลลังก์ในพระบรมมหาราชวังที่ซีอาน\nจากบทความ ข้อใดเป็นยุคที่มีการนองเลือดที่สุดยุคหนึ่งของจีน,(1) ราชวงศ์จิน\n(2) ยุคซีอาน\n(3) ราชวงศ์ฮั่น\n(4) ยุคสามก๊ก,(4) คือคำตอบที่ถูกต้อง,TRUE,TRUE,TRUE,
