year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
tha,1,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: ฉันไม่ได้คิดเรื่องนั้นด้วยซ้ำ แต่ฉันรู้สึกหงุดหงิดมาก และสุดท้ายฉันก็ได้คุยกับเขาอีกครั้ง\nประโยคที่ 2: ฉันไม่ได้คุยกับเขาอีกแล้ว,(1) entailment\n(2) neutral\n(3) contradiction,(3) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,2,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: ฉันไม่ได้คิดเรื่องนั้นด้วยซ้ำ แต่ฉันรู้สึกหงุดหงิดมาก และสุดท้ายฉันก็ได้คุยกับเขาอีกครั้ง\nประโยคที่ 2: ฉันอารมณ์เสียมากจนเพิ่งเริ่มคุยกับเขาอีกครั้ง,(1) entailment\n(2) neutral\n(3) contradiction,(1) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,3,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: ฉันไม่ได้คิดเรื่องนั้นด้วยซ้ำ แต่ฉันรู้สึกหงุดหงิดมาก และสุดท้ายฉันก็ได้คุยกับเขาอีกครั้ง\nประโยคที่ 2: เรามีการพูดคุยที่ดี,(1) entailment\n(2) neutral\n(3) contradiction,(2) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,4,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: และฉันคิดว่านั่นเป็นสิทธิพิเศษ และยังคง ก็ยังคง ฉันเป็น Ex-O สองและสองเพียงเก้าคน ซึ่งเป็นสนามอาชีพกองทัพอากาศ AFFC ของฉัน\nประโยคที่ 2: ฉันไม่รู้ว่าวันนั้นฉันไม่ใช่คนเดียวที่ลงสนาม,(1) entailment\n(2) neutral\n(3) contradiction,(2) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,5,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: และฉันคิดว่านั่นเป็นสิทธิพิเศษ และยังคง ก็ยังคง ฉันเป็น Ex-O สองและสองเพียงเก้าคน ซึ่งเป็นสนามอาชีพกองทัพอากาศ AFFC ของฉัน\nประโยคที่ 2: ฉันรู้สึกว่าฉันเป็นคนเดียวที่มีหมายเลขนั้นที่สนาม AFFC Air Force Career,(1) entailment\n(2) neutral\n(3) contradiction,(1) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,6,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: และฉันคิดว่านั่นเป็นสิทธิพิเศษ และยังคง ก็ยังคง ฉันเป็น Ex-O สองและสองเพียงเก้าคน ซึ่งเป็นสนามอาชีพกองทัพอากาศ AFFC ของฉัน\nประโยคที่ 2: เราทุกคนได้รับหมายเลขเดียวกันไม่ว่าจะได้รับสิทธิพิเศษอะไรก็ตาม มันเป็นเรื่องโกหก,(1) entailment\n(2) neutral\n(3) contradiction,(3) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,7,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: พวกเขาบอกฉันว่า เอ่อ ฉันจะถูกเรียกเป็นผู้ชายในตอนท้ายเพื่อให้ฉันได้เจอ\nประโยคที่ 2: ฉันไม่เคยบอกอะไรเกี่ยวกับการพบปะใครเลย,(1) entailment\n(2) neutral\n(3) contradiction,(3) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,8,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: พวกเขาบอกฉันว่า เอ่อ ฉันจะถูกเรียกเป็นผู้ชายในตอนท้ายเพื่อให้ฉันได้เจอ\nประโยคที่ 2: ฉันบอกว่าผู้ชายจะถูกเรียกให้ไปพบ,(1) entailment\n(2) neutral\n(3) contradiction,(1) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,9,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: พวกเขาบอกฉันว่า เอ่อ ฉันจะถูกเรียกเป็นผู้ชายในตอนท้ายเพื่อให้ฉันได้เจอ\nประโยคที่ 2: ผู้ชายคนนั้นมาช้าไปหน่อย,(1) entailment\n(2) neutral\n(3) contradiction,(2) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,10,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: มีอะไรมากมายที่คุณสามารถพูดได้ ฉันจะข้ามไป\nประโยคที่ 2: ฉันอยากจะบอกคุณทุกสิ่งที่ฉันรู้เกี่ยวกับเรื่องนั้น!,(1) entailment\n(2) neutral\n(3) contradiction,(3) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,11,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: มีอะไรมากมายที่คุณสามารถพูดได้ ฉันจะข้ามไป\nประโยคที่ 2: ฉันจะไม่พูดถึงเรื่องนั้น แม้ว่าจะมีหลายเรื่องให้พูดถึง,(1) entailment\n(2) neutral\n(3) contradiction,(1) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,12,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: มีอะไรมากมายที่คุณสามารถพูดได้ ฉันจะข้ามไป\nประโยคที่ 2: ฉันจะไม่พูดเกี่ยวกับประวัติศาสตร์ของเมือง เพราะมีมากเกินไปที่จะพูด,(1) entailment\n(2) neutral\n(3) contradiction,(2) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,13,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: นั่นคือสิ่งสำคัญที่เราต้องการจะประหยัด เนื่องจากไม่มีวิธีใดที่จะทิ้งระเบิด H ขนาด 20 เมกะตันออกจากเครื่อง C124 จำนวน 30 เครื่อง\nประโยคที่ 2: เราไม่สนใจเกี่ยวกับการบันทึกอะไรเลย,(1) entailment\n(2) neutral\n(3) contradiction,(3) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,14,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: นั่นคือสิ่งสำคัญที่เราต้องการจะประหยัด เนื่องจากไม่มีวิธีใดที่จะทิ้งระเบิด H ขนาด 20 เมกะตันออกจากเครื่อง C124 จำนวน 30 เครื่อง\nประโยคที่ 2: เราต้องการบันทึกสิ่งหนึ่งมากกว่าที่เหลือ,(1) entailment\n(2) neutral\n(3) contradiction,(1) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,15,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: นั่นคือสิ่งสำคัญที่เราต้องการจะประหยัด เนื่องจากไม่มีวิธีใดที่จะทิ้งระเบิด H ขนาด 20 เมกะตันออกจากเครื่อง C124 จำนวน 30 เครื่อง\nประโยคที่ 2: เราต้องการบันทึก h-bomb เพราะมันยากมากที่จะรับมือ,(1) entailment\n(2) neutral\n(3) contradiction,(2) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,16,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: ฉันก็เลยไม่ค่อยแน่ใจนักว่าทำไม\nประโยคที่ 2: ฉันแน่ใจในเหตุผลว่าทำไม,(1) entailment\n(2) neutral\n(3) contradiction,(3) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,17,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: ฉันก็เลยไม่ค่อยแน่ใจนักว่าทำไม\nประโยคที่ 2: ฉันไม่รู้ว่าทำไมเขาถึงย้ายโรงเรียน,(1) entailment\n(2) neutral\n(3) contradiction,(2) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,18,จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: ฉันก็เลยไม่ค่อยแน่ใจนักว่าทำไม\nประโยคที่ 2: ฉันไม่รู้ว่าทำไมถึงเกิดขึ้น,(1) entailment\n(2) neutral\n(3) contradiction,(1) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,19,"จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: นี่คือ Fannie Flono และเธอเติบโตขึ้นมาใน Ag--Augusta, GA และเธอจะพูดถึงเรื่องราวบางอย่างในวัยเด็กของเธอ\nประโยคที่ 2: Fannie Flono ต้องจัดตารางใหม่และไม่สามารถเล่าเรื่องราวให้เราฟังได้ในวันนี้",(1) entailment\n(2) neutral\n(3) contradiction,(3) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,20,"จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: นี่คือ Fannie Flono และเธอเติบโตขึ้นมาใน Ag--Augusta, GA และเธอจะพูดถึงเรื่องราวบางอย่างในวัยเด็กของเธอ\nประโยคที่ 2: Fannie Flono อยู่ที่นี่และเธอจะพูดกับเราเกี่ยวกับเรื่องราวในวัยเด็กของเธอจากการเติบโตขึ้นในเมืองออกัสตา รัฐจอร์เจีย",(1) entailment\n(2) neutral\n(3) contradiction,(1) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
tha,21,"จงเลือกประเภทความสัมพันธ์ของ 2 ประโยคนี้\n ประโยคที่ 1: นี่คือ Fannie Flono และเธอเติบโตขึ้นมาใน Ag--Augusta, GA และเธอจะพูดถึงเรื่องราวบางอย่างในวัยเด็กของเธอ\nประโยคที่ 2: วันนี้ Fannie Flono สามารถพูดคุยกับเราได้แม้ตารางงานที่ยุ่งของเธอ",(1) entailment\n(2) neutral\n(3) contradiction,(2) คือคำตอบที่ถูกต้เอง,TRUE,TRUE,TRUE,
