year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
2021,1,หลักการของพระพุทธศาสนาเน้นในเรื่องทางสายกลาง (มัชฌิมาปฏิปทา) ไม่ทําอะไรเกินตัว ทำแต่พอดี พอเหมาะ พอสม ไม่มากจนเกินไป ในขณะเดียวกันก็ไม่น้อยจนเกินไปจนทำให้ลำบาก ซึ่งนับเป็นหลักการ สำคัญอย่างหนึ่งที่รองรับแนวคิดเศรษฐกิจพอเพียงและการพัฒนาที่ยั่งยืน จากข้อความข้างต้น ทางสายกลางในพระพุทธศาสนาตรงกับหลักธรรม ข้อใด,(1) ไตรลักษณ์ คือ อนิจจลักษณะ ทุกขลักษณะ และอนัตตลักษณะ (2) ไตรรัตน์ คือ พุทธรัตนะ ธัมมรัตนะ และสังฆรัตนะ (3) ไตรสิกขา คือ สีลสิกขา จิตตสิกขา และปัญญาสิกขา (4) ไตรปิฎก คือ วินัยปิฎก สุตตันตปิฎก และอภิธัมมปิฎก (5) ไตรวัฏฏ์ คือ กิเลสวัฏฏ์ กัมมวัฏฏ์ และวิปากวัฏฏ,(3) ไตรสิกขา คือ สีลสิกขา จิตตสิกขา และปัญญาสิกขา,TRUE,TRUE,TRUE,
2021,2,มีหลักพุทธธรรมหลายข้อที่ถือว่าเป็นหลักการที่รองรับแนวคิดเศรษฐกิจพอเพียง และการพัฒนาที่ยั่งยืนของพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดช มหาราชบรมนาถบพิตร รัชกาลที่ 9 และหนึ่งในพุทธธรรมที่สำคัญอีกหลักการหนึ่งคือ “สัปปุริสธรรม 7” โดยเฉพาะข้อ “มัตตัญญุตา ความเป็นผู้รู้จักประมาณ ซึ่งสอดคล้องกับพระบรมราโชวาทที่ว่า “ความพอเพียงนี้ก็แปลว่าความพอประมาณ” จากข้อความข้างต้น สุภาษิตข้อใดแสดงถึงการมีคุณธรรมข้อมัตตัญญุตา,(1) เห็นช้างขี้ ขี้ตามช้าง (2) ติโขนยังไม่ทรงเครื่อง (3) ตําน้ำพริกละลายแม่น้ำ (4) นกน้อยทำรังแต่พอตัว (5) น้ำพึ่งเรือ เสือพึ่งป่า,(4) นกน้อยทำรังแต่พอตัว,TRUE,TRUE,TRUE,
2021,3,การพัฒนาที่ยั่งยืนเชิงพุทธศาสนามองคนกับสิ่งแวดล้อมว่า “คนต้องมีความสัมพันธ์กับสิ่งแวดล้อมอย่างเอื้อเฟื้อเกื้อกูลกัน” ซึ่งจัดเป็นวิธีคิดแบบคนเป็นส่วนหนึ่งของธรรมชาติและสิ่งแวดล้อม ไม่ใช่เป็นนายเหนือธรรมชาติและสิ่งแวดล้อม ซึ่งสอดคล้องกับหลักการพัฒนาเชิงพุทธศาสนาที่เรียกว่า “ภาวนา (การพัฒนา)” จากข้อความข้างต้น “การพัฒนาที่เน้นให้คนมีความสัมพันธ์กับสิ่งแวดล้อมอย่างเอื้อเฟื้อเกื้อกูลกัน” ตรงกับหลักภาวนา (การพัฒนา) ข้อใด,(1) กายภาวนา (2) สีลภาวนา (3) จิตตภาวนา (4) ปัญญาภาวนา (5) สมถภาวนา,(1) กายภาวนา,TRUE,TRUE,TRUE,
2021,4,ใครใช้จ่ายทรัพย์ไม่ถูกต้องตามหลักพระพุทธศาสนา,(1) แดง ใช้จ่ายทรัพย์เพื่อเสียภาษีอากรตามกฎหมาย (2) ฟ้า ใช้จ่ายทรัพย์ในการทำบุญเพื่ออุปถัมภ์บำรุงพระภิกษุสงฆ์ (3) ดำ ใช้จ่ายทรัพย์ในการพาพ่อแม่และครอบครัวไปเที่ยวพักผ่อนในวันหยุด (4) เขียว ใช้จ่ายทรัพย์ในการจ้างมหรสพต่างๆ เช่น ดนตรี และภาพยนตร์ เป็นต้น ให้ชาวบ้านดู (5) ขาว ใช้จ่ายทรัพย์ในการจัดงานทำบุญบำเพ็ญกุศลครบรอบ 100 วันของการมรณกรรมของบิดา,(4) เขียว ใช้จ่ายทรัพย์ในการจ้างมหรสพต่างๆ เช่น ดนตรี และภาพยนตร์ เป็นต้น ให้ชาวบ้านดู,TRUE,TRUE,TRUE,
2021,5,ข้อใดจัดเป็นธรรมาธิปไตยในพระพุทธศาสนา,(1) แดง ทำอะไรให้แก่โลกต้องคํานึงถึงประโยชน์ส่วนตนก่อนเสมอ (2) ดำ ตัดสินใจทำงานตามความคิดส่วนตัวทุกครั้ง (3) ขาว ต้องอาศัยมติเสียงส่วนใหญ่ในที่ประชุมเพื่อตัดสินใจ (4) ฟ้า อ้างทฤษฎีการปกครองตามความคิดของตนเองก่อนตัดสินใจ (5) เหลือง ทำงานยึดความถูกต้องเป็นที่ตั้งโดยไม่เห็นแก่หน้าใคร,(5) เหลือง ทำงานยึดความถูกต้องเป็นที่ตั้งโดยไม่เห็นแก่หน้าใคร,TRUE,TRUE,TRUE,
2021,6,มุสลิมคนใดต้องถือศีลอดตามหลักศาสนาอิสลาม,(1) ฟ้า เป็นเด็กหญิงที่อยู่ในช่วงมีประจําเดือน (2) ดำ เป็นชายสูงอายุที่กําลังเจ็บป่วยอย่างหนัก (3) ขาว เป็นหญิงแม่ลูกอ่อนที่อยู่ระหว่างการให้นมบุตร (4) เขียว เป็นชายยากจนอายุครบ 18 ปี อยู่บ้านคนเดียว (5) ชมพู เป็นแม่หม้ายที่อยู่ในระหว่างการเดินทางไกล,(4) เขียว เป็นชายยากจนอายุครบ 18 ปี อยู่บ้านคนเดียว,TRUE,TRUE,TRUE,
2021,7,ใครคือผู้ใช้แนวการแสวงหาโมกขธรรมของพระพุทธเจ้ามาพัฒนาชีวิตได้ถูกต้อง,(1) แดง อดข้าวประท้วงพ่อแม่ที่ไม่ให้ออกไปเที่ยวนอกบ้านตามแนวการอดอาหารของพระสิทธัตถะ (2) ฟ้า บํารุงบำเรอร่างกายให้มีน้ำมีนวลเพื่อให้สวยงามตามแนวการกลับมารับประทานอาหารของพระสิทธัตถะ (3) เขียว ทรมานตนเองเพื่อให้แฟนหันมาให้ความสนใจตามแนวการทรมานตนของพระสิทธัตถะ (4) ขาว ไม่ชอบใจอาจารย์ที่สอนจึงย้ายโรงเรียนตามแนวการออกจากสํานักครูทั้งสองของพระสิทธัตถะ (5) ดำ ขยันหมั่นศึกษาหาความรู้จนมีความก้าวหน้าในชีวิตตามแนวการไปศึกษาจากครูทั้งสองของพระสิทธัตถะ,(5) ดำ ขยันหมั่นศึกษาหาความรู้จนมีความ ก้าวหน้าในชีวิตตามแนวการไปศึกษาจากครูทั้งสองของพระสิทธัตถะ,TRUE,TRUE,TRUE,
2021,8,เหตุการณ์ใดไม่ได้ปรากฏอยู่ในวันวิสาขบูชา,(1) การประสูติ (2) การตรัสรู้ (3) การปรินิพพาน (4) การเปล่งอาสภวาจา (5) การแสดงปฐมเทศนา,(5) การแสดงปฐมเทศนา,TRUE,TRUE,TRUE,
2021,9,บุคคลในข้อใดจัดเป็นอภัพพบุคคล ประเภทบุคคลที่ห้ามอุปสมบทแบบเด็ดขาด,(1) คนมีเพศบกพร่อง (2) คนไม่มีอุปัชฌาย์ (3) คนยืมบาตรเขามา (4) คนที่ไม่มีบาตรและจีวร (5) คนที่ถือเอาสงฆ์เป็นอุปัชฌาย์,(1) คนมีเพศบกพร่อง,TRUE,TRUE,TRUE,
2021,10,นายดำ : วันพระหน้านี้เราอยากจะถวายภัตตาหารแด่พระสงฆ์ เราต้องทำอย่างไร นายแดง : เธอต้องเตรียมอาหารคาวและหวาน หรือผลไม้ก็ได้ แล้วไปถวายที่วัดในช่วงเวลาก่อนเพล นายดำ : เราต้องทําอย่างไรในการถวายพระ นายแดง : !!!??? หากนักเรียนเป็นนายแดง จะแนะนำนายดำตามข้อใดจึงจะเหมาะสมที่สุด,(1) ต้องถามความต้องการของพระสงฆ์ก่อน (2) ต้องมีความตั้งใจดีก่อนถวาย (3) ต้องให้ผู้ชายเป็นผู้ถวายเท่านั้น (4) ต้องให้ผู้หญิงเป็นผู้ถวายเท่านั้น (5) ต้องให้ผู้ที่เคยบวชแล้วถวาย,(2) ต้องมีความตั้งใจดีก่อนถวาย,TRUE,TRUE,TRUE,
