year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
2021,1,การที่สภาพป่าไม้เดิมจัดเป็นสังคมสมบูรณ์ ถูกตัดและเผาทำลายเพื่อทำ การเกษตรแล้วต่อมาถูกทิ้งร้างจนเกิดการเปลี่ยนแปลงแทนที่ขึ้นในบริเวณนั้น กระทั่งกลับมาเป็นป่าไม้ที่เป็นสังคมสมบูรณ์ อีกครั้งหนึ่ง ข้อความข้างต้นเป็นหลักฐานสนับสนุนว่าข้อใดถูกต้อง,(1) การเปลี่ยนแปลงแทนที่เฉพาะที่เกิดจากธรรมชาติเท่านั้นที่ทำให้เกิดสังคมสมบูรณ์ \n(2) สังคมสมบูรณ์เป็นกลุ่มสิ่งมีชีวิตในตอนเริ่มต้นของกระบวนการเปลี่ยนแปลงแทนที่ \n(3) ในระหว่างที่เกิดการเปลี่ยนแปลงแทนที่ปัจจัยทางกายภาพในบริเวณนั้นไม่มีการเปลี่ยนแปลง \n(4) การเปลี่ยนแปลงแทนที่ทางนิเวศวิทยาจะเกิดขึ้นในบริเวณที่ไม่เคยมีสิ่งมีชีวิตดำรงชีวิตอยู่มาก่อน \n(5) เมื่อสังคมสมบูรณ์ถูกรบกวนมากๆจะเกิดการเปลี่ยนแปลงหรือถูกทดแทนโดยกลุ่มสิ่งมีชีวิตอื่นได้,(5) เมื่อสังคมสมบูรณ์ถูกรบกวนมากๆ จะเกิดการเปลี่ยนแปลงหรือถูกทดแทนโดยกลุ่มสิ่งมีชีวิตอื่นได้,TRUE,TRUE,TRUE,
2021,2,เหตุการณ์ในข้อใดทำให้เกิดการเปลี่ยนแปลงขึ้นกับองค์ประกอบทางชีวภาพของระบบ\nนิเวศ และเป็นเหตุให้ประชากรสิ่งมีชีวิตในระบบนิเวศนั้นลดลง,(1) การระเบิดของภูเขาไฟทำให้พื้นที่โดยรอบถูกลาวาปกคลุม \n(2) การปนเปื้อนของถุงพลาสติกและขวดพลาสติกจำนวนมากในทะเล \n(3) การนำ ท่อคอนกรีตไปวางบนพื้นท้องทะเลเพื่อใช้เป็นปะการังเทียม \n(4) การอพยพของนกแอ่นออกจากประเทศไทยเมื่ออุณหภูมิเพิ่มขึ้นในตอนต้นฤดูร้อน \n(5) การระบาดของหอยเชอรี่ในแหล่งน้ำ จนเกิดการแก่งแย่งแข่งขันกับหอยโข่งของไทย,(5) การระบาดของหอยเชอรี่ในแหล่งน้ำ จนเกิดการแก่งแย่งแข่งขันกับหอยโข่งของไทย,TRUE,TRUE,TRUE,
2021,3,ในการลำเลียงสาร [A] และ [B] ที่มีความเข้มข้นเริ่มต้นภายนอกเซลล์และภายในเซลล์ดังภาพ  เมื่อการลำเลียงสารโดยอาศัยโปรตีนเป็นตัวพาดำเนินไประยะหนึ่งพบว่า\nความเข้มข้นสาร [A] และ [B]  ภายในเซลล์มีค่าเท่ากับ7และ 4มิลลิโมลาร์(mM) \nตามลำดับขณะที่ความเข้มข้นสาร [A] และ [B] ภายในเซลล์มีค่าเท่ากับ 1 และ\n4 มิลลิโมลาร์ตามลำดับ\nจากข้อมูลข้างต้นการลำเลียงสาร  และ  อาศัยกลไกการลำเลียงสารแบบใด\nตามลำดับ,(1) simple diffusion และ facilitated diffusion\n(2) facilitated diffusion และ active transport\n(3) active transport และ simple diffusion\n(4) simple diffusion และ active transport\n(5) active transport และ facilitated diffusion,(5) active transport และ facilitated diffusion,FALSE,TRUE,TRUE,Understanding Picture is required.
2021,4,จากกราฟ แสดงข้อมูลของอุณหภูมิภายในร่างกายของคน และอุณหภูมิภายนอก (สิ่งแวดล้อม) โดยให้จุดเริ่มต้นของเก็บข้อมูลเป็นชั่วโมงที่ 0 กราฟใดแสดงการรักษาดุลยภาพของอุณหภูมิภายในร่างกายของคนได้ดีที่สุด\nและช่วงชั่วโมงที่ 7-8น่าจะเกิดการตอบสนองใด,(1)    A เท่านั้น                หลอดเลือดที่ผิวหนังหดตัวต่อมเหงื่อสร้างเหงื่อ\n(2)    B เท่านั้น                หลอดเลือดที่ผิวหนังหดตัว ต่อมเหงื่อไม่สร้างเหงื่อ\n(3)    C เท่านั้น                อัตราเมแทบอลิซึมลดลง ต่อมเหงื่อสร้างเหงื่อ\n(4)    C เท่านั้น                หลอดเลือดที่ผิวหนังหดตัวต่อมเหงื่อไม่สร้างเหงื่อ\n(5)    A และ B เท่านั้น      อัตราเมแทบอลิซึมเพิ่มขึ้น,(4) C เท่านั้น หลอดเลือดที่ผิวหนังหดตัวต่อมเหงื่อไม่สร้างเหงื่อ,FALSE,TRUE,TRUE,Understanding Picture is required.
2021,5,เมื่อบดเนื้อเยื่อของพืชหัวชนิดหนึ่งกับน้ำ จะได้ของเหลวขาวขุ่นคล้ายน้ำแป้ง\nถ้าต้องการทดสอบว่าของเหลวนั้นมีแป้งเป็นองค์ประกอบหรือไม่\nควรทำการทดลองโดยใช้หลอดใดบ้าง จากตารางการทดลองข้างล่างนี้ กําหนด : + มีการใช้สาร - ไม่มีการใช้สาร,(1) หลอดที่ 1 2\n(2) หลอดที่ 2 6\n(3) หลอดที่ 1 3\n(4) หลอดที่ 1 3 5\n(5) หลอดที่ 2 4 6,(4) หลอดที่ 1 3 5,FALSE,TRUE,TRUE,Understanding Picture is required.
2021,6, ไม้ประดับ 2 ชนิด และ  มีอัตราการสังเคราะห์ด้วยแสงที่ความเข้มแสงต่าง ๆ\nแสดงดังภาพ   ถ้าท่านต้องการปลูกไม้ประดับในห้องเรียนควรเลือกนำ พืชชนิดใดมาปลูก\nเพราะเหตุใด,(1) พืช เพราะ มีอัตราการสังเคราะห์ด้วยแสงสูงสุดมากกว่าพืช\n(2) พืช เพราะ มีช่วงความเข้มแสงที่สังเคราะห์ด้วยแสงได้กว้างกว่าพืช \n(3) พืช เพราะ มีอัตราการสังเคราะห์ด้วยแสงสูงกว่าพืช ในระดับความเข้ม\nแสงต่างๆ\n(4) พืช เพราะ สามารถสังเคราะห์ด้วยแสงได้ในระยะเวลานานกว่าพืช \n(5) พืช เพราะมีอัตราการสังเคราะห์ด้วยแสงในห้องเรียนสูงกว่าพืช ,(5) พืช เพราะมีอัตราการสังเคราะห์ด้วยแสงในห้องเรียนสูงกว่าพืช,FALSE,TRUE,TRUE,Understanding Picture is required.
2021,7,ชายคนหนึ่งมีเลือดหมู่ AB  และตาบอดสีแต่งงานกับหญิงมีเลือดหมู่ O  ตาปกติ(ไม่มีประวัติตาบอดสีในครอบครัว) ทั้งสองคนมีลูกด้วยกัน 3 คน เป็นผู้หญิงหนึ่งคนและผู้ชายสองคน ข้อใดถูกต้อง,(1) ลูกชายทั้งสองตาปกติ  \n(2) ลูกจะมีหมู่เลือด AB หรือ O \n(3) หากมีลูกอีกคนจะเป็นเพศหญิง \n(4) ลูกทั้งสามคนสามารถให้เลือดกับแม่ได้ \n(5) ลูกสาวอาจจะเป็นพาหะตาบอดสีหรือไม่ก็ได้,(1) ลูกชายทั้งสองตาปกติ,TRUE,TRUE,TRUE,
2021,8,เมลานินเป็นสารสีชนิดหนึ่งที่อยู่บนผิวหนังโดยมีแอลลีล A กำหนดลักษณะโปรตีนที่\nทําหน้าที่ในกระบวนการสังเคราะห์เมลานิน ได้ส่วนแอลลีล a กําหนดลักษณะโปรตีน\nที่เปลี่ยนแปลงไปและไม่สามารถทํางานได้ตามปกติ ข้อใดถูกต้อง,(1) คนที่มี a เพียงแอลลีลเดียวจะมีลักษณะเผือก\n(2) แอลลีล A และแอลลีล a มีลำดับนิวคลีโอไทด์เหมือนกัน \n(3) คนที่มี A เพียงแอลลีลเดียวไม่สามารถสังเคราะห์เมลานินได้\n(4) แอลลีล A และแอลลีล a อยู่คนละตำแหน่งบนโครโมโซมเดียวกัน\n(5) แอลลีล a มาจากการเกิดมิวเทชันของแอลลีล A ทำให้ไม่สามารถทำ หน้าที่ได้,(5) แอลลีล a มาจากการเกิดมิวเทชันของแอลลีล A ทำให้ไม่สามารถทำ หน้าที่ได้,TRUE,TRUE,TRUE,
2021,9,ข้อใดไม่ถูกต้อง,(1) แก๊สฮีเลียมถูกนำ ไปบรรจุในลูกโป่งสวรรค์\n(2) ตะกั่วเป็นสารมลพิษที่เป็นสาเหตุ ของโรคโลหิตจาง\n(3) ซิลิคอนเป็นธาตุกึ่งโลหะ จัดอยู่ในกลุ่มธาตุแทรนซิชัน\n(4) การสูดดมแก๊สโอโซนทำให้เกิดอาการไอ จาม หายใจผิดปกติ\n(5) แก๊ส ไนโตรเจนถูกใช้บรรจุในถุงขนมเพื่อคงความกรุบกรอบและรักษาคุณภาพขนม,(3) ซิลิคอนเป็นธาตุกึ่งโลหะ จัดอยู่ในกลุ่มธาตุแทรนซิชัน,TRUE,TRUE,TRUE,
2021,10,อะตอมธาตุ X มี 15 อิเล็กตรอน และ 16 นิวตรอนข้อใดถูกต้อง\n,(1)  ธาตุ X พบอยู่ในรูปแก๊สมีสูตร X2\n(2) สัญลักษณ์นิวเคลียร์ของธาตุ X คือ 1615X\n(3) X^3- มีจำนวนโปรตอนเท่ากับแก๊สมีสกุลในคาบเดียวกัน\n(4) ไอโซโทปของธาตุ X ที่มี 18 นิวตรอน มีเลขมวลเป็น 33\n(5) ธาตุ X มีแนวโน้มรับอิเล็กตรอนเกิดเป็น X ในธรรมชาติ,(4) ไอโซโทปของธาตุ X ที่มี 18 นิวตรอน มีเลขมวลเป็น 33,TRUE,TRUE,TRUE,
